drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
levothyroxine,primary: t-3..t-1,FE + time-varying,True,0.9746517645565195,0.9374930484001179,1.013283313166184,0.1954511112005547,2335,0.6503366385425615
levothyroxine,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.958647768204832,0.9134873644428222,1.0060407831088598,0.0862770273105247,2335,
levothyroxine,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9755691765935954,0.9346315376816038,1.0182999181477745,0.25810860473051433,1751,
levothyroxine,primary: t-3..t-1,FE + time-varying + asylum support,True,0.9698374922124738,0.9307591817528782,1.0105565217520582,0.14441280810257826,1926,
antituberculosis,lag: t-1 only,FE only,True,1.0020414418972179,0.9988615866832123,1.0052314201145676,0.20854066149661732,2919,
antituberculosis,lag: t-1 only,FE + time-varying,True,1.0005417107684533,0.997757914794344,1.0033332736767162,0.7032202461503201,2919,
oral_corticosteroids,lag: t-1 only,FE only,True,0.9676017363865895,0.9273752093874317,1.009573159580981,0.12845607477810064,2919,
oral_corticosteroids,lag: t-1 only,FE + time-varying,True,0.9799386838327319,0.9447158426168006,1.016474775538764,0.27788980359147886,2919,
inhaled_corticosteroids,lag: t-1 only,FE only,True,0.9415772457251386,0.9040520239722077,0.9806600573404533,0.0037175057052333637,2919,
inhaled_corticosteroids,lag: t-1 only,FE + time-varying,True,0.9684933921709393,0.9308912549312994,1.0076144186659015,0.11306981937267963,2919,
immunosuppressants,lag: t-1 only,FE only,True,1.0015206451645697,0.9852149499669305,1.0180962060355703,0.8560281493107195,2919,
immunosuppressants,lag: t-1 only,FE + time-varying,True,1.000198284717687,0.9845749924784241,1.0160694882509174,0.9803076472598231,2919,
proton_pump_inhibitors,lag: t-1 only,FE only,True,0.9633798796806067,0.9217149936636031,1.006928170805202,0.09814403780052557,2919,
proton_pump_inhibitors,lag: t-1 only,FE + time-varying,True,0.9896419472267757,0.949552873600685,1.0314235372665168,0.6216516576520921,2919,
statins,lag: t-1 only,FE only,True,0.9780912346731078,0.9401629747646447,1.0175496047202348,0.2722820868281469,2919,
statins,lag: t-1 only,FE + time-varying,True,0.9990494741982868,0.961166319846719,1.0384257451457979,0.9615433055304943,2919,
metformin,lag: t-1 only,FE only,True,0.9525879663689589,0.9205999229466387,0.9856874968732172,0.005316277933856876,2919,
metformin,lag: t-1 only,FE + time-varying,True,0.9683507611333277,0.9365827180160825,1.001196347690235,0.05879197913564014,2919,
insulins,lag: t-1 only,FE only,True,0.9713877570063167,0.9329150772101336,1.0114470196832548,0.15914235845015856,2919,
insulins,lag: t-1 only,FE + time-varying,True,0.9788458304192701,0.9421735555428196,1.0169455023360028,0.27243034454739834,2919,
fluoroquinolones,lag: t-1 only,FE only,True,1.0032581170802137,0.9895638142782007,1.0171419315908474,0.6427319528706698,2919,
fluoroquinolones,lag: t-1 only,FE + time-varying,True,1.00228078974225,0.990103576249259,1.0146077699182539,0.7148958566805289,2919,
all_antibacterials,lag: t-1 only,FE only,True,0.9836565702246897,0.9473035820578699,1.0214046124942144,0.3910700472029335,2919,
all_antibacterials,lag: t-1 only,FE + time-varying,True,0.9860925340856566,0.9565685486841066,1.0165277617763138,0.3665120309681129,2919,
vitamin_d,lag: t-1 only,FE only,True,1.0079529579103024,0.9870751618604791,1.0292723438052966,0.4582135099666541,2919,
vitamin_d,lag: t-1 only,FE + time-varying,True,1.0036384347351963,0.9847801954998586,1.0228578034780957,0.7074586484595204,2919,
levothyroxine,lag: t-1 only,FE only,True,0.9542214658026799,0.9247034806889853,0.9846817112877998,0.0034681285631329765,2919,
