drug,exposure_window,model,converged,irr_10pct,ci_low,ci_high,p,n_obs,q_fdr
vitamin_d,primary: t-3..t-1,FE only,True,1.0102379407351063,0.9836021270255092,1.037595048708389,0.4549567356579127,1191,
vitamin_d,primary: t-3..t-1,FE + time-varying,True,1.009921999187277,0.9819269683702221,1.0387151766849845,0.49121531657654105,1191,0.8253362711800555
vitamin_d,primary: t-3..t-1,FE + time-varying + total prescribing,True,1.0100897661645407,0.9809571810586178,1.0400875343093785,0.5013594871744405,1191,
vitamin_d,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,1.0187718382623794,0.9893046029847313,1.0491167789022473,0.2142616398913183,893,
levothyroxine,primary: t-3..t-1,FE only,True,0.9613957246873802,0.9257595489509548,0.9984036788975533,0.04106227065081968,1191,
levothyroxine,primary: t-3..t-1,FE + time-varying,True,0.9674712915816616,0.9281614838695734,1.0084459615070782,0.11814902149104309,1191,0.7088941289462586
levothyroxine,primary: t-3..t-1,FE + time-varying + total prescribing,True,0.941134986572854,0.8962066943962289,0.9883156067565445,0.015059718659765929,1191,
levothyroxine,primary: t-3..t-1,"FE + time-varying, excluding 2020-21",True,0.9679404518324773,0.9244379479429157,1.013490110805701,0.16487661233539241,893,
antituberculosis,lag: t-1 only,FE only,True,1.0026117657342202,0.9986424432543604,1.006596865153119,0.1974742805155003,1489,
antituberculosis,lag: t-1 only,FE + time-varying,True,1.0006227994451646,0.9972155592784666,1.004041681313043,0.7205201613762469,1489,
oral_corticosteroids,lag: t-1 only,FE only,True,0.9711058085009514,0.9230181037539994,1.0216988025140892,0.2578290993701008,1489,
oral_corticosteroids,lag: t-1 only,FE + time-varying,True,0.9822483961898729,0.9407175368084721,1.0256127626692806,0.41644365507603165,1489,
inhaled_corticosteroids,lag: t-1 only,FE only,True,0.9449966918365502,0.9016757965944727,0.9903989338017661,0.018130098067731665,1489,
inhaled_corticosteroids,lag: t-1 only,FE + time-varying,True,0.9665485359448475,0.9234210178075861,1.011690284627885,0.14403099597474847,1489,
immunosuppressants,lag: t-1 only,FE only,True,1.006752939268526,0.9869661550014,1.0269364107266463,0.5063349569580892,1489,
immunosuppressants,lag: t-1 only,FE + time-varying,True,1.0024484077357332,0.9834614009496855,1.0218019834855911,0.802084378194129,1489,
proton_pump_inhibitors,lag: t-1 only,FE only,True,0.9660147595623664,0.9213451170657191,1.01285012359356,0.1523127526280451,1489,
proton_pump_inhibitors,lag: t-1 only,FE + time-varying,True,0.9852337961306054,0.9433167837354572,1.0290134234589652,0.5024458225703508,1489,
statins,lag: t-1 only,FE only,True,0.9799192387056269,0.9374896750371768,1.024269109254282,0.36907244679406137,1489,
statins,lag: t-1 only,FE + time-varying,True,0.9994802198995926,0.9570489636355661,1.0437926876549353,0.9812590725481658,1489,
metformin,lag: t-1 only,FE only,True,0.9470775133863726,0.9113771685113579,0.984176307408711,0.0055437228293964275,1489,
metformin,lag: t-1 only,FE + time-varying,True,0.9628123388791578,0.9267302904699664,1.0002992342333468,0.051817443739097094,1489,
insulins,lag: t-1 only,FE only,True,0.9804051496672693,0.9342638076186247,1.0288253164211936,0.42105321620668534,1489,
insulins,lag: t-1 only,FE + time-varying,True,0.9840942380765869,0.93965233778905,1.0306380673667321,0.49647808295729157,1489,
