utla,year,tb_count
E06000052,2017,14
E06000052,2018,13
E06000052,2019,11
E06000052,2020,13
E06000052,2021,9
E06000052,2022,9
E06000052,2023,5
E06000052,2024,8
E06000054,2001,11
E06000054,2002,11
E06000054,2003,13
E06000054,2004,12
E06000054,2005,9
E06000054,2006,12
E06000054,2007,9
E06000054,2008,16
E06000054,2009,13
E06000054,2010,15
E06000054,2011,15
E06000054,2012,14
E06000054,2013,12
E06000054,2014,17
E06000054,2015,16
E06000054,2016,11
E06000054,2017,9
E06000054,2018,6
E06000054,2019,14
E06000054,2020,10
E06000054,2021,8
E06000054,2022,5
E06000054,2023,12
E06000054,2024,16
E06000055,2001,24
E06000055,2002,23
E06000055,2003,25
E06000055,2004,27
E06000055,2005,22
E06000055,2006,24
E06000055,2007,21
E06000055,2008,31
E06000055,2009,29
E06000055,2010,28
E06000055,2011,19
E06000055,2012,33
E06000055,2013,24
E06000055,2014,25
E06000055,2015,17
E06000055,2016,20
E06000055,2017,16
E06000055,2018,10
E06000055,2019,16
E06000055,2020,8
E06000055,2021,11
E06000055,2022,12
E06000055,2023,16
E06000055,2024,10
E06000056,2001,11
E06000056,2002,6
E06000056,2003,6
E06000056,2004,9
E06000056,2005,10
E06000056,2006,8
E06000056,2007,8
E06000056,2008,7
E06000056,2009,11
E06000056,2010,15
E06000056,2011,11
E06000056,2012,6
E06000056,2013,10
E06000056,2014,8
E06000056,2015,7
E06000056,2016,5
E06000056,2017,6
E06000056,2018,6
E06000056,2019,6
E06000056,2020,4
E06000056,2021,8
E06000056,2022,10
E06000056,2023,8
E06000056,2024,8
E06000057,2001,12
E06000057,2002,7
E06000057,2003,7
E06000057,2004,3
E06000057,2005,9
E06000057,2006,5
E06000057,2007,13
E06000057,2008,10
E06000057,2009,7
E06000057,2010,7
E06000057,2011,7
E06000057,2012,9
E06000057,2013,5
E06000057,2014,13
E06000057,2015,6
E06000057,2016,4
E06000057,2017,5
E06000057,2018,7
E06000057,2019,0
E06000057,2020,1
E06000057,2021,1
E06000057,2022,6
E06000057,2023,6
E06000057,2024,3
E06000058,2001,24
E06000058,2002,29
E06000058,2003,20
E06000058,2004,25
E06000058,2005,38
E06000058,2006,32
E06000058,2007,25
E06000058,2008,29
E06000058,2009,22
E06000058,2010,23
E06000058,2011,28
E06000058,2012,19
E06000058,2013,16
E06000058,2014,14
E06000058,2015,23
E06000058,2016,17
