year,age_group,birthplace,tb_count,region_name
2020,65 and older,Non-UK born,20.0,East of England
2020,65 and older,UK born,23.0,East of England
2020,65 and older,All places of birth,43.0,East of England
2021,0 to 14,Non-UK born,7.0,East of England
2021,0 to 14,UK born,8.0,East of England
2021,0 to 14,All places of birth,15.0,East of England
2021,15 to 44,Non-UK born,169.0,East of England
2021,15 to 44,UK born,37.0,East of England
2021,15 to 44,All places of birth,206.0,East of England
2021,45 to 64,Non-UK born,71.0,East of England
2021,45 to 64,UK born,26.0,East of England
2021,45 to 64,All places of birth,97.0,East of England
2021,65 and older,Non-UK born,22.0,East of England
2021,65 and older,UK born,23.0,East of England
2021,65 and older,All places of birth,45.0,East of England
2022,0 to 14,Non-UK born,1.0,East of England
2022,0 to 14,UK born,5.0,East of England
2022,0 to 14,All places of birth,6.0,East of England
2022,15 to 44,Non-UK born,186.0,East of England
2022,15 to 44,UK born,32.0,East of England
2022,15 to 44,All places of birth,218.0,East of England
2022,45 to 64,Non-UK born,71.0,East of England
2022,45 to 64,UK born,26.0,East of England
2022,45 to 64,All places of birth,97.0,East of England
2022,65 and older,Non-UK born,28.0,East of England
2022,65 and older,UK born,17.0,East of England
2022,65 and older,All places of birth,45.0,East of England
2023,0 to 14,Non-UK born,6.0,East of England
2023,0 to 14,UK born,5.0,East of England
2023,0 to 14,All places of birth,11.0,East of England
2023,15 to 44,Non-UK born,197.0,East of England
2023,15 to 44,UK born,36.0,East of England
2023,15 to 44,All places of birth,233.0,East of England
2023,45 to 64,Non-UK born,90.0,East of England
2023,45 to 64,UK born,25.0,East of England
2023,45 to 64,All places of birth,115.0,East of England
2023,65 and older,Non-UK born,40.0,East of England
2023,65 and older,UK born,15.0,East of England
2023,65 and older,All places of birth,55.0,East of England
2024,0 to 14,Non-UK born,6.0,East of England
2024,0 to 14,UK born,6.0,East of England
2024,0 to 14,All places of birth,12.0,East of England
2024,15 to 44,Non-UK born,246.0,East of England
2024,15 to 44,UK born,26.0,East of England
2024,15 to 44,All places of birth,272.0,East of England
2024,45 to 64,Non-UK born,74.0,East of England
2024,45 to 64,UK born,34.0,East of England
2024,45 to 64,All places of birth,108.0,East of England
2024,65 and older,Non-UK born,37.0,East of England
2024,65 and older,UK born,17.0,East of England
2024,65 and older,All places of birth,54.0,East of England
2001,0 to 14,Non-UK born,60.0,London
2001,0 to 14,UK born,71.0,London
2001,0 to 14,All places of birth,131.0,London
2001,15 to 44,Non-UK born,1270.0,London
2001,15 to 44,UK born,209.0,London
2001,15 to 44,All places of birth,1479.0,London
2001,45 to 64,Non-UK born,370.0,London
2001,45 to 64,UK born,64.0,London
2001,45 to 64,All places of birth,434.0,London
2001,65 and older,Non-UK born,159.0,London
2001,65 and older,UK born,75.0,London
2001,65 and older,All places of birth,234.0,London
2002,0 to 14,Non-UK born,70.0,London
2002,0 to 14,UK born,79.0,London
2002,0 to 14,All places of birth,149.0,London
2002,15 to 44,Non-UK born,1627.0,London
2002,15 to 44,UK born,256.0,London
2002,15 to 44,All places of birth,1883.0,London
2002,45 to 64,Non-UK born,359.0,London
