drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
inhaled_corticosteroids,"distributed lag (t, t-1, t-2)",exposure,0.8961200373707731,0.8487465442447165,0.9461377213523715,0.9379148278454285,0.027711105611759993,7.557597728551267e-05,3233,294,2014-2024,,0.0
inhaled_corticosteroids,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0418079575821335,0.966375419160315,1.123128547107014,1.109643473590648,0.038347200100780604,0.285487401126606,3233,294,2014-2024,,
inhaled_corticosteroids,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0338700539016252,0.9685192999489035,1.1036303441871946,1.092109409840181,0.033314267164567736,0.317385647713885,3233,294,2014-2024,,92.10940984018082
inhaled_corticosteroids,"lag and lead (t-1, t+1)",exposure_lag1,1.0761140393817095,1.017495198633787,1.1381099658350426,1.1279106618994825,0.028577816909730557,0.010261176020656218,2939,294,2014-2023,,
inhaled_corticosteroids,"lag and lead (t-1, t+1)",exposure_lag-1,0.8746401583802275,0.836525556936074,0.9144913748401462,0.9079663639076793,0.022732388786574215,3.8119475660712056e-09,2939,294,2014-2023,,0.0
inhaled_corticosteroids,prior 3 years (t-3..t-1),exposure_prior3,0.9987008941568476,0.9473070279969126,1.0528830110114389,1.0439809653281904,0.02695514119310402,0.9615357811912936,3233,294,2014-2024,,43.980965328190365
inhaled_corticosteroids,+ area trends (t-1),exposure_lag1,1.0529315842151434,1.0028805985770406,1.1054804755529875,1.0968615711578058,0.024847857746097,0.0379158944220301,3233,294,2014-2024,,96.86157115780571
inhaled_corticosteroids,population covariate (t-1),exposure_lag1,0.9836685484233335,0.9354518606562603,1.034370504622709,1.0260491437084638,0.025642506783940682,0.5207772124059529,3233,294,2014-2024,,26.049143708463756
inhaled_corticosteroids,+ LTBI programme (t-1),exposure_lag1,0.9815748559160157,0.9355564968287529,1.0298567761888002,1.021939981961902,0.02449833757653016,0.447785090451679,3233,294,2014-2024,,21.93998196190193
inhaled_corticosteroids,+ asylum support (t-1),exposure_lag1,0.9635790729811733,0.9213606093634286,1.007732065438255,1.0005019616220547,0.02285870011908376,0.1045795323565333,2353,291,2015-2024,,0.5019616220547358
inhaled_corticosteroids,exclude COVID years (t-1),exposure_lag1,0.9768423404035662,0.9299659815158869,1.0260815739191802,1.0180039129554166,0.025090439502796887,0.350395581473512,2351,294,2014-2024,,18.003912955416574
inhaled_corticosteroids,outcome years 2018-2024 (t-1),exposure_lag1,0.9478603333639131,0.9024978479084842,0.9955028852942512,0.9876876019149402,0.025020845974888222,0.03234344802298591,2058,294,2018-2024,,0.0
inhaled_corticosteroids,EPD exposure only (t-1),exposure_lag1,0.9701222790010173,0.9289718800834159,1.0130955052478223,1.0060628610670062,0.02211410971391522,0.17016768822507655,2939,294,2015-2024,,6.062861067006148
inhaled_corticosteroids,ADQ measure (t-1),exposure_lag1,0.9748994339265755,0.9516526735768557,0.9987140609799385,0.9948478422405922,0.012313362982452676,0.03897017915263049,2939,294,2015-2024,,0.0
conventional_dmards,primary (t-1),exposure_lag1,1.0031076316190861,0.9840687556609485,1.0225148546014171,1.0193707013113962,0.009776695736887211,0.7509641882953373,3233,294,2014-2024,0.8875031316217623,19.37070131139616
conventional_dmards,FE only (t-1),exposure_lag1,1.0052946067296606,0.9854514304635688,1.0255373477354799,1.0222567716362327,0.010171468029954722,0.6036477831040272,3234,294,2014-2024,,22.256771636232724
conventional_dmards,"distributed lag (t, t-1, t-2)",exposure,1.0045397538335634,0.9675513463947375,1.0429421867811732,1.0366727908614464,0.01914095128054596,0.8129374834299511,3233,294,2014-2024,,36.67279086144634
conventional_dmards,"distributed lag (t, t-1, t-2)",exposure_lag1,0.9939241446152792,0.9357925711347528,1.0556668600727335,1.0454912661599227,0.030748495202942,0.8428876523502205,3233,294,2014-2024,,45.49126615992268
conventional_dmards,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0058374090537905,0.9640165122105903,1.0494725771160167,1.0423342088763314,0.021666986257991377,0.7882131850582671,3233,294,2014-2024,,42.3342088763314
conventional_dmards,"lag and lead (t-1, t+1)",exposure_lag1,1.0160076303414354,0.9872777422588163,1.0455735612455521,1.040764511294161,0.014635070395993778,0.2778669453738616,2939,294,2014-2023,,40.764511294161
conventional_dmards,"lag and lead (t-1, t+1)",exposure_lag-1,0.9841412169962906,0.9500139856147509,1.0194943965632306,1.0137281521375092,0.018006476416770164,0.3746564323908187,2939,294,2014-2023,,13.728152137509209
conventional_dmards,prior 3 years (t-3..t-1),exposure_prior3,1.0044271851579705,0.9835357563464784,1.0257623719060391,1.0223031870475958,0.010723826322451752,0.6803942700557376,3233,294,2014-2024,,22.303187047595802
conventional_dmards,+ area trends (t-1),exposure_lag1,1.021587231741462,0.9849394350897623,1.0595986259419814,1.0533956116913274,0.018639109327403043,0.2518593554284735,3233,294,2014-2024,,53.3956116913274
conventional_dmards,population covariate (t-1),exposure_lag1,1.0028861041130324,0.983920667687061,1.0222171063723478,1.0190853936968485,0.009740793244843254,0.7673341596829576,3233,294,2014-2024,,19.085393696848456
conventional_dmards,+ LTBI programme (t-1),exposure_lag1,1.0030878822650526,0.9841304509166687,1.0224104930497542,1.0192801555528035,0.009734664895547529,0.7514590742622701,3233,294,2014-2024,,19.280155552803475
conventional_dmards,+ asylum support (t-1),exposure_lag1,0.9976956015190215,0.98014756584973,1.015557807795454,1.012665676212266,0.009053614062384856,0.7988607829579111,2353,291,2015-2024,,12.665676212266098
conventional_dmards,exclude COVID years (t-1),exposure_lag1,1.0059130809089951,0.9866267583438233,1.0255764074779021,1.0223905008539922,0.009877110220704552,0.550572784001419,2351,294,2014-2024,,22.390500853992172
conventional_dmards,outcome years 2018-2024 (t-1),exposure_lag1,1.0026610481539344,0.9794733000971174,1.0263977357886789,1.02254535538632,0.011937660463946146,0.8238344080127133,2058,294,2018-2024,,22.545355386319947
conventional_dmards,EPD exposure only (t-1),exposure_lag1,1.0014253414296204,0.9848006598405014,1.0183306686856342,1.0155946186735472,0.008541000347945246,0.8675561868457412,2939,294,2015-2024,,15.594618673547153
transplant_immunosuppressants,primary (t-1),exposure_lag1,0.9993042695557293,0.9933319932157199,1.005312453411982,1.0043444218275455,0.0030583493297903805,0.8199846069594531,3233,294,2014-2024,0.8883166575394075,4.344421827545459
transplant_immunosuppressants,FE only (t-1),exposure_lag1,0.996973768439928,0.9906964669049889,1.0032908445333488,1.002272907259806,0.003222582353459078,0.34696414790869023,3234,294,2014-2024,,2.2729072598059985
transplant_immunosuppressants,"distributed lag (t, t-1, t-2)",exposure,1.0001493885848376,0.9899548962706767,1.0104488631299415,1.0087864655912255,0.005227180429276421,0.9772019113266661,3233,294,2014-2024,,8.786465591225527
transplant_immunosuppressants,"distributed lag (t, t-1, t-2)",exposure_lag1,0.9960325087634627,0.9834923917096645,1.0087325198205583,1.0066805789580127,0.006464282911599706,0.5385701859352143,3233,294,2014-2024,,6.680578958012656
transplant_immunosuppressants,"distributed lag (t, t-1, t-2)",exposure_lag2,1.00375876670742,0.9947236796037767,1.0128759196155113,1.0114050974261246,0.004613270167613634,0.4160774424596194,3233,294,2014-2024,,11.405097426124602
transplant_immunosuppressants,"lag and lead (t-1, t+1)",exposure_lag1,0.9995399639127897,0.9901175808236315,1.0090520144361983,1.007517209439156,0.004832363500473646,0.9241393803572671,2939,294,2014-2023,,7.517209439156007
transplant_immunosuppressants,"lag and lead (t-1, t+1)",exposure_lag-1,0.9987930159086732,0.9913344390902903,1.006307709377464,1.0050961887115246,0.0038242918997610934,0.7521539804213511,2939,294,2014-2023,,5.096188711524614
transplant_immunosuppressants,prior 3 years (t-3..t-1),exposure_prior3,0.9999891221072192,0.9928992966059721,1.00712957270792,1.0059785710852367,0.0036301813340465375,0.9976091175280584,3233,294,2014-2024,,5.978571085236689
transplant_immunosuppressants,+ area trends (t-1),exposure_lag1,1.0005884806805416,0.9931344522372165,1.0080984557682602,1.0068877049739435,0.0038150671729242653,0.8774470334491311,3233,294,2014-2024,,6.887704973943524
