scenario,seed,log_irr_10pct,p,rejected_two_sided,detected_correct_direction
IRR 1.05 per 10%,5147,0.03169340988829933,0.06418618524086493,False,False
IRR 1.05 per 10%,5148,0.05250028877457811,0.0051009094575483185,True,True
IRR 1.05 per 10%,5149,0.03646368174025001,0.029812437700640765,True,True
IRR 1.05 per 10%,5150,0.03699513475774221,0.011661201401964418,True,True
IRR 1.05 per 10%,5151,0.03582179829413953,0.047193653124861235,True,True
IRR 1.05 per 10%,5152,0.05910103061874205,0.002124676881954338,True,True
IRR 1.05 per 10%,5153,0.04449117222441841,0.0033791407935514265,True,True
IRR 1.05 per 10%,5154,0.05360899586547795,0.0023015693545119504,True,True
IRR 1.05 per 10%,5155,0.04299360892380059,0.01800407384533065,True,True
IRR 1.05 per 10%,5156,0.07050302067354347,5.378753177559603e-05,True,True
IRR 1.05 per 10%,5157,0.0427319015321759,0.0025380774516588094,True,True
IRR 1.05 per 10%,5158,0.06404478469516639,0.0005825282603704857,True,True
IRR 1.05 per 10%,5159,0.04126665503431862,0.03016218888777437,True,True
IRR 1.05 per 10%,5160,0.050906430698594886,0.001935567201778836,True,True
IRR 1.05 per 10%,5161,0.0553892414915354,0.0006929786734779145,True,True
IRR 1.05 per 10%,5162,0.05340653282774431,0.002793633371227665,True,True
IRR 1.05 per 10%,5163,0.07822852197848953,1.500209385341224e-07,True,True
IRR 1.05 per 10%,5164,0.07021973833474898,4.6614056905902307e-07,True,True
IRR 1.05 per 10%,5165,0.03929122748660035,0.01869666955852867,True,True
IRR 1.05 per 10%,5166,0.024951224706793104,0.10821089898313822,False,False
IRR 1.05 per 10%,5167,0.041798056948443484,0.014670349316579904,True,True
IRR 1.05 per 10%,5168,0.0456063694512596,0.0026204089849288883,True,True
IRR 1.05 per 10%,5169,0.04386400704013897,0.013168743294414026,True,True
IRR 1.05 per 10%,5170,0.061144662070704944,0.00027394400953698343,True,True
IRR 1.05 per 10%,5171,0.04406030799101912,0.019479570749578262,True,True
IRR 1.05 per 10%,5172,0.00889968391405382,0.5793547048142857,False,False
IRR 1.05 per 10%,5173,0.06870194398927824,3.310383707075866e-05,True,True
IRR 1.05 per 10%,5174,0.03825278807969502,0.010102269872961658,True,True
IRR 1.05 per 10%,5175,0.060281749890872156,0.001063494521206097,True,True
IRR 1.05 per 10%,5176,0.05060050551790676,0.006501056252371366,True,True
IRR 1.05 per 10%,5177,0.07133961097941678,5.000191881081747e-07,True,True
IRR 1.05 per 10%,5178,0.03883581505268248,0.02148350112906711,True,True
IRR 1.05 per 10%,5179,0.03782283193344409,0.028867606462322514,True,True
