drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
oral_hydrocortisone,FE only (t-1),exposure_lag1,0.9979520577342148,0.9809738527938884,1.0152241129562534,1.01242821966715,0.008754811852016911,0.8148593995096858,1661,151,2014-2024,,12.428219667149898
oral_hydrocortisone,"distributed lag (t, t-1, t-2)",exposure,1.0054795003450543,0.9857704775412952,1.0255825759113264,1.0223248246450976,0.010100140497322717,0.5884825725909302,1660,151,2014-2024,,22.324824645097532
oral_hydrocortisone,"distributed lag (t, t-1, t-2)",exposure_lag1,0.9975248906869914,0.9729796411378836,1.0226893405255555,1.0186026522550349,0.012711195591892526,0.8454240916399369,1660,151,2014-2024,,18.60265225503486
oral_hydrocortisone,"distributed lag (t, t-1, t-2)",exposure_lag2,0.995058514954052,0.9729152029905643,1.0177058032797193,1.0140315998521021,0.011481946990472338,0.66615079148003,1660,151,2014-2024,,14.031599852102103
oral_hydrocortisone,"lag and lead (t-1, t+1)",exposure_lag1,0.9988330397997557,0.9779016141940463,1.020212490617335,1.0167458973814962,0.010805393552472502,0.9139473047423212,1509,151,2014-2023,,16.74589738149622
oral_hydrocortisone,"lag and lead (t-1, t+1)",exposure_lag-1,0.9999913369781462,0.9819192240746701,1.0183960650874235,1.0154154781353921,0.009304881374823396,0.9992571511607712,1509,151,2014-2023,,15.41547813539211
oral_hydrocortisone,prior 3 years (t-3..t-1),exposure_prior3,0.992948900901353,0.9741709359209606,1.0120888269666053,1.0089880689288986,0.009741028709535733,0.4675814914127243,1660,151,2014-2024,,8.988068928898576
oral_hydrocortisone,+ area trends (t-1),exposure_lag1,1.0095642000728495,0.9889522927088435,1.0306057042215688,1.0271946927807942,0.010524458720084565,0.3657615712344464,1660,151,2014-2024,,27.1946927807942
oral_hydrocortisone,population covariate (t-1),exposure_lag1,0.9999341397508064,0.9839299881169002,1.0161986075379088,1.013566944558745,0.008231975678986396,0.9936163506888882,1660,151,2014-2024,,13.56694455874495
oral_hydrocortisone,+ LTBI programme (t-1),exposure_lag1,0.9986007885389627,0.9837619857044269,1.0136634159090692,1.0112274022104213,0.00763831855300532,0.8545536485669212,1660,151,2014-2024,,11.22740221042128
