outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p,leave_one_region_out_range,analysis
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,1,90,2015-2024,1.0308208380070858,0.7730130628306747,1.374610147179863,0.8139621157406063,0.888-1.207,lagged exposure
"TB, Non-UK born",pred_mg_per_resident,FE only,2,81,2016-2024,1.1002931703456746,0.8710044665027183,1.3899412773052153,0.37321014047169837,0.995-1.172,lagged exposure
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,2,81,2016-2024,1.0909354916848226,0.8654400421163361,1.375185095558153,0.41130663923505234,0.951-1.228,lagged exposure
"TB, Non-UK born",pred_mg_per_resident,FE only,3,72,2017-2024,1.1284922097653902,0.8788979372048767,1.4489676373017968,0.2971576197785353,0.996-1.191,lagged exposure
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,3,72,2017-2024,1.0650735222064402,0.8312570442279408,1.3646580387885068,0.573687656809074,0.995-1.154,lagged exposure
"TB, Non-UK born",pred_mg_per_resident,FE only,1,72,2015-2024,1.0481389325968455,0.8125892925013275,1.3519686170655025,0.6813845018213485,0.978-1.135,"lagged, excluding 2020-21"
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,1,72,2015-2024,1.070465148409864,0.7964162356474201,1.4388150098781374,0.6098566048109363,0.911-1.227,"lagged, excluding 2020-21"
"TB, Non-UK born",pred_mg_per_resident,FE only,2,63,2016-2024,1.0705848850432211,0.8345346751122417,1.3734024843591477,0.5453721959429143,0.964-1.173,"lagged, excluding 2020-21"
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,2,63,2016-2024,1.1128963605037774,0.885294215743347,1.3990132175240761,0.312432383750879,0.972-1.255,"lagged, excluding 2020-21"
"TB, Non-UK born",pred_mg_per_resident,FE only,3,54,2017-2024,1.093995961636633,0.8728636481377262,1.3711501981216867,0.3857468001395305,1.001-1.153,"lagged, excluding 2020-21"
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,3,54,2017-2024,1.0567714902710161,0.8312340057034772,1.343503724567308,0.6102233492243702,0.967-1.138,"lagged, excluding 2020-21"
"TB, Non-UK born",pred_mg_per_resident,FE only,-1,99,2013-2023,1.1627539579659179,0.8793836408535657,1.5374367954503951,0.2484068829191141,1.123-1.383,lead (falsification)
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,-1,99,2013-2023,1.106969850803459,0.789611592218128,1.5518797629927958,0.507524413999043,0.994-1.359,lead (falsification)
"TB, Non-UK born",pred_mg_per_resident,FE only,-2,99,2012-2022,1.299099117566884,1.004354195784955,1.6803419792995082,0.04705150874691645,1.220-1.487,lead (falsification)
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,-2,99,2012-2022,1.2528365946671758,0.9028180924610991,1.7385556913890454,0.15129465139512369,1.071-1.424,lead (falsification)
"TB, Non-UK born",pred_mg_per_resident,FE only,-3,90,2012-2021,1.2853958178626699,1.1002437508069953,1.5017057878010873,0.0058513387796358,1.243-1.364,lead (falsification)
"TB, Non-UK born",pred_mg_per_resident,FE + migration + age,-3,90,2012-2021,1.2554656699920115,1.0214522510281079,1.5430912673030248,0.03453392022890421,1.167-1.383,lead (falsification)
"TB, Non-UK born",rate_levothyroxine,FE only,1,90,2015-2024,1.0123399432283446,0.9242040267328065,1.108880865060171,0.7641213799882157,0.979-1.036,lagged exposure
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,1,90,2015-2024,1.003847720358536,0.880508977081783,1.1444633409744693,0.9477996634670454,0.934-1.048,lagged exposure
"TB, Non-UK born",rate_levothyroxine,FE only,2,81,2016-2024,1.0619928669247138,0.9576474001229909,1.1777078382441448,0.2167171177201411,1.020-1.081,lagged exposure
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,2,81,2016-2024,1.0483184817995705,0.9340621560924892,1.1765508666788749,0.3733143882742654,0.994-1.090,lagged exposure
"TB, Non-UK born",rate_levothyroxine,FE only,3,72,2017-2024,1.0786376301153235,0.9807861280238758,1.1862516239345495,0.10374822141217781,1.024-1.101,lagged exposure
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,3,72,2017-2024,1.0497077395788328,0.9333042615156656,1.1806292802545053,0.36907431411162644,0.966-1.079,lagged exposure
"TB, Non-UK born",rate_levothyroxine,FE only,1,72,2015-2024,1.024247015519415,0.9294460826070485,1.1287173817095533,0.585085939453264,0.989-1.050,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,1,72,2015-2024,1.00765236100638,0.8876645209148041,1.1438592584452114,0.8931502606877237,0.940-1.061,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_levothyroxine,FE only,2,63,2016-2024,1.0647519186749508,0.9625228461666449,1.177838690101812,0.18965479417489192,1.025-1.085,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,2,63,2016-2024,1.049582855462053,0.9342431388299182,1.1791621738422322,0.3658221473294108,1.001-1.099,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_levothyroxine,FE only,3,54,2017-2024,1.0711702382612562,0.9811178545509786,1.1694881241986994,0.10864927500648394,1.018-1.090,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,3,54,2017-2024,1.0517666736833784,0.9364626124838576,1.1812678062361692,0.3455360895658101,0.959-1.086,"lagged, excluding 2020-21"
"TB, Non-UK born",rate_levothyroxine,FE only,-1,99,2013-2023,0.9611568401828058,0.8624648621344558,1.071142155454183,0.42359178211009585,0.921-1.064,lead (falsification)
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,-1,99,2013-2023,0.9637105336422321,0.8030026252830451,1.1565815146938419,0.6527909835400856,0.905-1.074,lead (falsification)
"TB, Non-UK born",rate_levothyroxine,FE only,-2,99,2012-2022,0.9130356903884704,0.8082204153626886,1.0314440913362202,0.12364728686348721,0.869-1.200,lead (falsification)
"TB, Non-UK born",rate_levothyroxine,FE + migration + age,-2,99,2012-2022,1.0110718779965433,0.8859952180343577,1.1538057109872737,0.8523140984283805,0.983-1.274,lead (falsification)
"TB, Non-UK born",rate_levothyroxine,FE only,-3,90,2012-2021,0.8990747594057237,0.7986099173572302,1.0121780426611948,0.07217986382532815,0.860-1.308,lead (falsification)
